text,main_category,sub_category,priority_level
We request This problem has been there for some time for the past few days., road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: Please Please provide a new street connection for our street and it needs action.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Please Children are affected due to insects and waste here.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , health_risk            ,1
"This complaint is related to garbage infrastructure. The citizen reports the following issue: Kindly We are we are suffering facing inconvenience daily as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", garbage      , missed_collection      ,3
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report Our area does this is affecting us not have a usable road for vehicles near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently Please provide actually a new road connection for our street. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: Please Please provide a new road connection for our street as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
Urgently People are facing difficulty please consider because of route issues and it needs action., road         , infrastructure_gap     ,2
"This complaint is related to road infrastructure. The citizen reports the following issue: Access is affected and people cannot reach easily near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report People are facing difficulty because of this is affecting us route issues as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
We request Please look into this it is becoming issue for the past few days., garbage      , missed_collection      ,3
Urgently The street is partially blocked because of garbage as soon as possible., garbage      , access_mobility        ,1
I want to report Waste is blocking access and requesting you to movement is affected near our houses., garbage      , access_mobility        ,1
"This complaint is related to road infrastructure. The citizen reports the following issue: Kindly People are facing difficulty because of road issues for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.", road         , infrastructure_gap     ,2
