text,main_category,sub_category,priority_level,severity_score
"This complaint is related to road infrastructure. The citizen reports the following issue: We request Children cannot requesting you to safely walk to school using this road and it needs action. Also, waste is seen along the street sometimes.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
Please check the condition we are facing in our area.,road,infrastructure_gap,2,18
We request Requesting authorities actually to take action and it needs action.,garbage,missed_collection,3,12
Vehicles cannot pass and waste is piled up on the side in our area.,road,access_mobility,1,38
Urgently People are facing difficulty because of road issues near our houses.,road,infrastructure_gap,2,20
"This complaint is related to road infrastructure. The citizen reports the following issue: I want to report There is no proper route facility it is becoming in our locality as soon as possible.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,infrastructure_gap,2,21
Kindly Garbage blocks the road and vehicles cannot pass for the past few days.,garbage,access_mobility,1,36
Kindly People are facing difficulty because of road issues for the past few days.,road,infrastructure_gap,2,19
solid waste is dumped to be honest near the route and causes traffic problems as soon as possible.,garbage,recurring_garbage_point,2,25
"This complaint is related to road infrastructure. The citizen reports the following issue: Urgently Vehicles cannot pass kindly look into because the street is not passable for the past few days.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",road,access_mobility,1,40
Urgently Ambulance access is difficult due to street condition as soon as possible.,road,access_mobility,1,40
Urgently Vehicles cannot pass because the road is blocked for the past few days.,road,access_mobility,1,40
Ambulance access is difficult due to requesting you to street condition and it needs action.,road,access_mobility,1,40
I want to report The street is partially obstructed because of waste.,garbage,access_mobility,1,34
"This complaint is related to garbage infrastructure. The citizen reports the following issue: I want to report Waste is rotting and may please consider spread infection risks near our houses.. This issue affects daily public usage and requires attention from authorities. The complaint has been submitted with location details for further analysis. The system will evaluate severity, recurrence, and impact to support officer decision-making.",garbage,health_risk,1,36
We request This problem has been there for some time for the past few days.,road,infrastructure_gap,2,18
